"","Isolate","Accession","Instrument","Study","Source category","Facility","Assembly length (bp)","Number of contigs","N50","Coverage","Species","Sequence type"
"519","INT_CRE_1103","SRR37385393","Illumina NovaSeq X","2021-23","Wound","LTACH 2",5650082,105,129842,351.875,"Klebsiella pneumoniae","ST258"
"520","INT_CRE_181","SRR37385802","Illumina NovaSeq X","2021-23","Respiratory","LTACH 13",5239360,62,194366,490.145,"Klebsiella pneumoniae","ST258"
"521","INT_CRE_58","SRR37387401","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5547947,92,138083,485.892,"Klebsiella pneumoniae","ST25"
"522","INT_CRE_1370","SRR37385542","Illumina NovaSeq X","2021-23","Blood","LTACH 8",5650601,96,130050,415.281,"Klebsiella pneumoniae","ST258"
"523","INT_CRE_1276","SRR37385462","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5713540,93,154480,480.466,"Klebsiella pneumoniae","ST258"
"524","INT_CRE_1476","SRR37385604","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5462487,89,223640,758.091,"Klebsiella pneumoniae","ST17"
"525","INT_CRE_707","SRR37387577","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5450330,65,176285,377.625,"Klebsiella pneumoniae","ST14"
"526","INT_CRE_728","SRR37387831","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5439887,50,271832,452.175,"Klebsiella pneumoniae","ST14"
"527","INT_CRE_1355","SRR37385558","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5619539,94,150401,372.597,"Klebsiella pneumoniae","ST258"
"528","INT_CRE_1230","SRR37385712","Illumina NovaSeq X","2021-23","Wound","LTACH 2",5646348,105,129409,398.47,"Klebsiella pneumoniae","ST258"
"529","INT_CRE_442","SRR37387317","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5845138,74,182727,453.309,"Klebsiella pneumoniae","ST307"
"530","INT_CRE_435","SRR37387325","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5693069,103,129409,343.252,"Klebsiella pneumoniae","ST258"
"531","INT_CRE_1161","SRR37385741","Illumina NovaSeq X","2021-23","Urine","LTACH 8",5689186,54,251005,418.616,"Klebsiella pneumoniae","ST35"
"532","INT_CRE_732","SRR37387826","Illumina NovaSeq X","2021-23","Urine","LTACH 8",5693648,65,172604,459.425,"Klebsiella pneumoniae","ST35"
"533","INT_CRE_239","SRR37385770","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5489670,57,201541,485.31,"Klebsiella pneumoniae","ST14"
"534","INT_CRE_1037","SRR37385543","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5642750,76,157590,476.969,"Klebsiella pneumoniae","ST258"
"535","INT_CRE_1178","SRR37385724","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5454302,55,192727,361.735,"Klebsiella pneumoniae","ST14"
"536","INT_CRE_27","SRR37385930","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5500002,86,137349,341.792,"Klebsiella pneumoniae","ST258"
"537","INT_CRE_1099","SRR37385399","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5308914,49,230027,428.626,"Klebsiella pneumoniae","ST485"
"538","INT_CRE_950","SRR37387683","Illumina NovaSeq X","2021-23","Wound","LTACH 8",5599456,73,190411,367.027,"Klebsiella pneumoniae","ST987"
"539","INT_CRE_1095","SRR37385614","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5590169,71,190411,461.598,"Klebsiella pneumoniae","ST987"
"540","INT_CRE_1151","SRR37385574","Illumina NovaSeq X","2021-23","Blood","LTACH 8",5600199,72,178644,335.954,"Klebsiella pneumoniae","ST987"
"541","INT_CRE_180","SRR37385803","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5531839,79,152195,478.017,"Klebsiella pneumoniae","ST258"
"542","INT_CRE_328","SRR37387433","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5534027,86,137350,453.356,"Klebsiella pneumoniae","ST258"
"543","INT_CRE_410","SRR37387451","Illumina NovaSeq X","2021-23","Wound","LTACH 4",5770324,102,152434,397.966,"Klebsiella pneumoniae","ST258"
"544","INT_CRE_1065","SRR37385640","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5535724,64,207213,339.522,"Klebsiella pneumoniae","ST307"
"545","INT_CRE_1129","SRR37385246","Illumina NovaSeq X","2021-23","Blood","LTACH 10",5470726,58,192727,356.145,"Klebsiella pneumoniae","ST14"
"546","INT_CRE_1390","SRR37385650","Illumina NovaSeq X","2021-23","Wound","LTACH 5",5511073,47,331758,422.962,"Klebsiella pneumoniae","ST405"
"547","INT_CRE_1164","SRR37385737","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5634564,108,129409,379.348,"Klebsiella pneumoniae","ST258"
"548","INT_CRE_951","SRR37387682","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5593363,71,165443,352.091,"Klebsiella pneumoniae","ST307"
"549","INT_CRE_1021","SRR37385496","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5417721,54,201270,367.893,"Klebsiella pneumoniae","ST14"
"550","INT_CRE_954","SRR37387680","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5537401,63,185322,463.513,"Klebsiella pneumoniae","ST14"
"551","INT_CRE_546","SRR37387612","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5504506,57,199915,436.319,"Klebsiella pneumoniae","ST14"
"552","INT_CRE_690","SRR37387257","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5506329,57,177440,392.638,"Klebsiella pneumoniae","ST14"
"553","INT_CRE_792","SRR37387219","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5349741,47,217820,429.311,"Klebsiella pneumoniae","ST14"
"554","INT_CRE_190","SRR37385792","Illumina NovaSeq X","2021-23","Blood","LTACH 7",5671834,86,151738,570.753,"Klebsiella pneumoniae","ST258"
"555","INT_CRE_679","SRR37387363","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5487389,85,146147,444.942,"Klebsiella pneumoniae","ST25"
"556","INT_CRE_201","SRR37385539","Illumina NovaSeq X","2021-23","Other","LTACH 10",5471039,52,243850,450.327,"Klebsiella pneumoniae","ST307"
"557","INT_CRE_470","SRR37387470","Illumina NovaSeq X","2021-23","Blood","LTACH 10",5444410,54,198578,418.678,"Klebsiella pneumoniae","ST14"
"558","INT_CRE_700","SRR37387244","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5488060,83,149980,445.012,"Klebsiella pneumoniae","ST258"
"559","INT_CRE_35","SRR37387833","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5713756,100,157365,457.698,"Klebsiella pneumoniae","ST258"
"560","INT_CRE_937","SRR37387699","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5730396,91,154274,325.386,"Klebsiella pneumoniae","ST258"
"561","INT_CRE_888","SRR37387512","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5585576,73,196603,492.772,"Klebsiella pneumoniae","ST987"
"562","INT_CRE_146","SRR37385357","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5442277,56,201651,510.171,"Klebsiella pneumoniae","ST14"
"563","INT_CRE_153","SRR37385279","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5701623,100,132641,445.531,"Klebsiella pneumoniae","ST258"
"564","INT_CRE_228","SRR37385779","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5699718,102,129842,512.527,"Klebsiella pneumoniae","ST258"
"565","INT_CRE_962","SRR37387503","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5441053,53,217814,271.345,"Klebsiella pneumoniae","ST14"
"566","INT_CRE_268","SRR37385931","Illumina NovaSeq X","2021-23","Urine","LTACH 5",5652833,103,142930,502.342,"Klebsiella pneumoniae","ST258"
"567","INT_CRE_358","SRR37387355","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5537110,59,192727,405.187,"Klebsiella pneumoniae","ST14"
"568","INT_CRE_227","SRR37385517","Illumina NovaSeq X","2021-23","Wound","LTACH 2",5694142,100,142930,576.821,"Klebsiella pneumoniae","ST258"
"569","INT_CRE_130","SRR37385681","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5521503,70,182468,494.722,"Klebsiella pneumoniae","ST14"
"570","INT_CRE_237","SRR37385772","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5691143,107,129837,478.368,"Klebsiella pneumoniae","ST258"
"571","INT_CRE_252","SRR37385757","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5446026,59,190363,511.975,"Klebsiella pneumoniae","ST14"
"572","INT_CRE_1475","SRR37385605","Illumina NovaSeq X","2021-23","Urine","LTACH 8",5529807,56,240730,828.311,"Klebsiella pneumoniae","ST307"
"573","INT_CRE_1089","SRR37385621","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5521436,56,201432,387.802,"Klebsiella pneumoniae","ST14"
"574","INT_CRE_1465","SRR37385609","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5444709,79,268867,486.23,"Klebsiella pneumoniae","ST4081"
"575","INT_CRE_172","SRR37385813","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5742438,114,128431,361.856,"Klebsiella pneumoniae","ST258"
"576","INT_CRE_1351","SRR37385561","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5779422,73,194863,439.189,"Klebsiella pneumoniae","ST116"
"577","INT_CRE_1068","SRR37385326","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5696054,106,176147,378.375,"Klebsiella pneumoniae","ST14"
"578","INT_CRE_1094","SRR37385615","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5506188,87,137616,486.263,"Klebsiella pneumoniae","ST258"
"579","INT_CRE_352","SRR37387254","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5510828,61,182305,386.492,"Klebsiella pneumoniae","ST14"
"580","INT_CRE_1451","SRR37385366","Illumina NovaSeq X","2021-23","Urine","LTACH 11",5587078,65,183036,448.12,"Klebsiella pneumoniae","ST307"
"581","INT_CRE_608","SRR37387271","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5648601,104,149911,277.084,"Klebsiella pneumoniae","ST258"
"582","INT_CRE_651","SRR37387845","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5651525,105,130064,473.756,"Klebsiella pneumoniae","ST258"
"583","INT_CRE_218","SRR37385524","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5444266,55,192727,474.992,"Klebsiella pneumoniae","ST14"
"584","INT_CRE_278","SRR37385350","Illumina NovaSeq X","2021-23","Respiratory","LTACH 11",5242944,72,157747,458.133,"Klebsiella pneumoniae","ST258"
"585","INT_CRE_768","SRR37387340","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5520796,55,217820,483.602,"Klebsiella pneumoniae","ST14"
"586","INT_CRE_769","SRR37387339","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5681255,98,149642,511.162,"Klebsiella pneumoniae","ST258"
"587","INT_CRE_1367","SRR37385546","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5759988,88,185730,370.975,"Klebsiella pneumoniae","ST16"
"588","INT_CRE_555","SRR37387879","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5502180,63,185525,319.702,"Klebsiella pneumoniae","ST14"
"589","INT_CRE_739","SRR37387819","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5549734,64,185531,467.979,"Klebsiella pneumoniae","ST14"
"590","INT_CRE_1578","SRR37385273","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5630694,106,110781,134.576,"Klebsiella pneumoniae","ST11"
"591","INT_CRE_1101","SRR37385395","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5707310,104,113786,427.947,"Klebsiella pneumoniae","ST11"
"592","INT_CRE_516","SRR37387301","Illumina NovaSeq X","2021-23","Urine","LTACH 4",5438797,51,233028,393.387,"Klebsiella pneumoniae","ST14"
"593","INT_CRE_178","SRR37385806","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5449633,63,198582,647.235,"Klebsiella pneumoniae","ST14"
"594","INT_CRE_1048","SRR37385294","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5912352,103,131130,416.67,"Klebsiella pneumoniae","ST258"
"595","INT_CRE_1306","SRR37385673","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5504732,79,139046,329.799,"Klebsiella pneumoniae","ST258"
"596","INT_CRE_161","SRR37385825","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5445766,56,217814,469.872,"Klebsiella pneumoniae","ST14"
"597","INT_CRE_231","SRR37385775","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5447049,54,201487,483.576,"Klebsiella pneumoniae","ST14"
"598","INT_CRE_1253","SRR37385889","Illumina NovaSeq X","2021-23","Other","LTACH 1",5504473,54,201270,519.133,"Klebsiella pneumoniae","ST14"
"599","INT_CRE_417","SRR37387443","Illumina NovaSeq X","2021-23","Wound","LTACH 8",5638225,80,240722,317.404,"Klebsiella pneumoniae","ST35"
"600","INT_CRE_32","SRR37387282","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5546006,92,152564,437.361,"Klebsiella pneumoniae","ST258"
"601","INT_CRE_219","SRR37385523","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5649833,103,142930,509.606,"Klebsiella pneumoniae","ST258"
"602","INT_CRE_1025","SRR37385698","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5664290,93,154739,389.487,"Klebsiella pneumoniae","ST258"
"603","INT_CRE_1063","SRR37385344","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5398624,52,200010,413.026,"Klebsiella pneumoniae","ST14"
"604","INT_CRE_175","SRR37385810","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5449645,77,172489,476.757,"Klebsiella pneumoniae","ST17"
"605","INT_CRE_1414","SRR37385404","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5486756,69,155007,392.56,"Klebsiella pneumoniae","ST45"
"606","INT_CRE_1271","SRR37385468","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5435618,78,152204,417.009,"Klebsiella pneumoniae","ST258"
"607","INT_CRE_433","SRR37387328","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5346899,50,217814,350.557,"Klebsiella pneumoniae","ST14"
"608","INT_CRE_1018","SRR37385728","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5530080,90,137616,519.437,"Klebsiella pneumoniae","ST258-1LV"
"609","INT_CRE_552","SRR37387605","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5532509,92,137373,275.147,"Klebsiella pneumoniae","ST258"
"610","INT_CRE_302","SRR37385639","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5526436,89,140355,407.804,"Klebsiella pneumoniae","ST258"
"611","INT_CRE_421","SRR37387438","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5708982,102,147021,386.444,"Klebsiella pneumoniae","ST25"
"612","INT_CRE_202","SRR37385538","Illumina NovaSeq X","2021-23","Blood","LTACH 1",5511518,87,149642,481.081,"Klebsiella pneumoniae","ST258"
"613","INT_CRE_924","SRR37387725","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5418629,55,217822,395.556,"Klebsiella pneumoniae","ST14"
"614","INT_CRE_524","SRR37387292","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5646664,87,149989,385.552,"Klebsiella pneumoniae","ST258"
"615","INT_CRE_336","SRR37387309","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5641695,92,146063,429.977,"Klebsiella pneumoniae","ST258"
"616","INT_CRE_1093","SRR37385616","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5635442,89,157585,435.224,"Klebsiella pneumoniae","ST258"
"617","INT_CRE_941","SRR37387694","Illumina NovaSeq X","2021-23","Blood","LTACH 5",5552566,75,156858,331.327,"Klebsiella pneumoniae","ST987"
"618","INT_CRE_913","SRR37387761","Illumina NovaSeq X","2021-23","Blood","LTACH 5",5549664,69,196520,551.163,"Klebsiella pneumoniae","ST987"
"619","INT_CRE_589","SRR37387391","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5282948,76,154344,277.9,"Klebsiella pneumoniae","ST1084"
"620","INT_CRE_716","SRR37387567","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5283199,83,130607,507.653,"Klebsiella pneumoniae","ST1084"
"621","INT_CRE_1463","SRR37385612","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5654676,89,157590,499.488,"Klebsiella pneumoniae","ST258"
"622","INT_CRE_159","SRR37385260","Illumina NovaSeq X","2021-23","Blood","LTACH 7",5344087,64,225382,466.109,"Klebsiella pneumoniae","ST17"
"623","INT_CRE_785","SRR37387228","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5521227,84,154415,392.356,"Klebsiella pneumoniae","ST258"
"624","INT_CRE_79","SRR37387222","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5777987,112,149642,392.139,"Klebsiella pneumoniae","ST258"
"625","INT_CRE_1258","SRR37385885","Illumina NovaSeq X","2021-23","Blood","LTACH 6",5707543,112,110781,511.969,"Klebsiella pneumoniae","ST11"
"626","INT_CRE_383","SRR37387671","Illumina NovaSeq X","2021-23","Blood","LTACH 4",5535605,77,174331,364.657,"Klebsiella pneumoniae","ST14"
"627","INT_CRE_216","SRR37385527","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5683305,122,124811,532.588,"Klebsiella pneumoniae","ST258"
"628","INT_CRE_318","SRR37387456","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5526959,62,186238,469.173,"Klebsiella pneumoniae","ST35"
"629","INT_CRE_115","SRR37385576","Illumina NovaSeq X","2021-23","Blood","LTACH 12",5685581,88,152204,489.476,"Klebsiella pneumoniae","ST258"
"630","INT_CRE_1109","SRR37385388","Illumina NovaSeq X","2021-23","Respiratory","LTACH 10",5474301,61,201270,322.772,"Klebsiella pneumoniae","ST14"
"631","INT_CRE_1091","SRR37385618","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5353528,46,167563,431.453,"Klebsiella pneumoniae","ST6-1LV"
"632","INT_CRE_1191","SRR37385912","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5410334,50,150469,375.047,"Klebsiella pneumoniae","ST6-1LV"
"633","INT_CRE_56","SRR37387874","Illumina NovaSeq X","2021-23","Respiratory","LTACH 7",5527937,50,265934,404.395,"Klebsiella pneumoniae","ST35"
"634","INT_CRE_804","SRR37387547","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5623560,63,170588,531.474,"Klebsiella pneumoniae","ST307"
"635","INT_CRE_922","SRR37387727","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5804976,107,136282,386.311,"Klebsiella pneumoniae","ST258"
"636","INT_CRE_532","SRR37387625","Illumina NovaSeq X","2021-23","Blood","LTACH 3",5612170,95,142930,393.371,"Klebsiella pneumoniae","ST258"
"637","INT_CRE_1046","SRR37385600","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5422833,57,201432,425.79,"Klebsiella pneumoniae","ST14"
"638","INT_CRE_1513","SRR37385281","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5420960,54,217814,893.509,"Klebsiella pneumoniae","ST14"
"639","INT_CRE_1346","SRR37385429","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5362071,53,217814,415.274,"Klebsiella pneumoniae","ST14"
"640","INT_CRE_1134","SRR37385750","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5424891,59,192727,359.41,"Klebsiella pneumoniae","ST14"
"641","INT_CRE_1308","SRR37385875","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5426115,55,186720,397.989,"Klebsiella pneumoniae","ST14"
"642","INT_CRE_1243","SRR37385696","Illumina NovaSeq X","2021-23","Blood","LTACH 10",5682285,114,127026,483.069,"Klebsiella pneumoniae","ST163"
"643","INT_CRE_6","SRR37387283","Illumina NovaSeq X","2021-23","Urine","LTACH 7",5588026,65,322328,531.701,"Klebsiella pneumoniae","ST987"
"644","INT_CRE_1092","SRR37385617","Illumina NovaSeq X","2021-23","Respiratory","LTACH 9",5743426,100,128229,483.754,"Klebsiella pneumoniae","ST258"
"645","INT_CRE_114","SRR37385588","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5538601,85,178412,419.772,"Klebsiella pneumoniae","ST17"
"646","INT_CRE_1396","SRR37385422","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5549089,62,150794,441.894,"Klebsiella pneumoniae","ST1569"
"647","INT_CRE_638","SRR37387584","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5472880,51,194101,261.327,"Klebsiella pneumoniae","ST35"
"648","INT_CRE_974","SRR37387489","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5605990,103,129409,424.536,"Klebsiella pneumoniae","ST258"
"649","INT_CRE_765","SRR37387343","Illumina NovaSeq X","2021-23","Other","LTACH 6",5615172,98,142814,392.375,"Klebsiella pneumoniae","ST258"
"650","INT_CRE_420","SRR37387439","Illumina NovaSeq X","2021-23","Wound","LTACH 3",5593726,98,142930,385.344,"Klebsiella pneumoniae","ST258"
"651","INT_CRE_158","SRR37385271","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5445793,49,217814,509.644,"Klebsiella pneumoniae","ST14"
"652","INT_CRE_1157","SRR37385567","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5858481,76,170731,395.855,"Klebsiella pneumoniae","ST307"
"653","INT_CRE_200","SRR37385540","Illumina NovaSeq X","2021-23","Blood","LTACH 2",5686109,101,149642,596.826,"Klebsiella pneumoniae","ST258"
"654","INT_CRE_1394","SRR37385424","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5347522,48,193021,395.418,"Klebsiella pneumoniae","ST14"
"655","INT_CRE_1502","SRR37385290","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5362419,48,194138,1041.34,"Klebsiella pneumoniae","ST14"
"656","INT_CRE_576","SRR37387405","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5620672,158,192761,265.36,"Klebsiella pneumoniae","ST14"
"657","INT_CRE_205","SRR37385534","Illumina NovaSeq X","2021-23","Wound","LTACH 12",5515067,74,182467,537.696,"Klebsiella pneumoniae","ST14"
"658","INT_CRE_128","SRR37385458","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5650612,98,142930,456.383,"Klebsiella pneumoniae","ST258"
"659","INT_CRE_209","SRR37385532","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5679267,93,153528,570.038,"Klebsiella pneumoniae","ST258"
"660","INT_CRE_926","SRR37387722","Illumina NovaSeq X","2021-23","Urine","LTACH 12",5549983,84,154739,364.242,"Klebsiella pneumoniae","ST258"
"661","INT_CRE_965","SRR37387500","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5458253,59,201270,326.076,"Klebsiella pneumoniae","ST14"
"662","INT_CRE_868","SRR37387531","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5522593,59,192727,472.122,"Klebsiella pneumoniae","ST14"
"663","INT_CRE_633","SRR37387588","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5543417,91,125331,210.646,"Klebsiella pneumoniae","ST25"
"664","INT_CRE_648","SRR37387849","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5539751,94,117251,464.991,"Klebsiella pneumoniae","ST25"
"665","INT_CRE_21","SRR37385531","Illumina NovaSeq X","2021-23","Urine","LTACH 3",5650568,92,142930,333.265,"Klebsiella pneumoniae","ST258"
"666","INT_CRE_193","SRR37385789","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5505238,81,149989,513.707,"Klebsiella pneumoniae","ST258"
"667","INT_CRE_196","SRR37385785","Illumina NovaSeq X","2021-23","Respiratory","LTACH 6",5516859,81,142930,500.157,"Klebsiella pneumoniae","ST258"
"668","INT_CRE_36","SRR37387237","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5342955,47,186800,285.718,"Klebsiella pneumoniae","ST1017"
"669","INT_CRE_474","SRR37387465","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5559124,89,135165,363.131,"Klebsiella pneumoniae","ST258"
"670","INT_CRE_469","SRR37387472","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5592316,96,135165,399.868,"Klebsiella pneumoniae","ST258"
"671","INT_CRE_528","SRR37387288","Illumina NovaSeq X","2021-23","Urine","LTACH 6",5536264,84,149642,420.081,"Klebsiella pneumoniae","ST258"
"672","INT_CRE_594","SRR37387384","Illumina NovaSeq X","2021-23","Wound","LTACH 6",5575567,119,129830,250.797,"Klebsiella pneumoniae","ST258"
"673","INT_CRE_647","SRR37387850","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5609744,88,160135,472.982,"Klebsiella pneumoniae","ST987"
"674","INT_CRE_812","SRR37387537","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5398528,72,162966,392.2,"Klebsiella pneumoniae","ST258"
"675","INT_CRE_1591","SRR37385258","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5638272,101,132935,172.348,"Klebsiella pneumoniae","ST258"
"676","INT_CRE_1104","SRR37385392","Illumina NovaSeq X","2021-23","Respiratory","LTACH 3",5495707,65,188504,394.555,"Klebsiella pneumoniae","ST307"
"677","INT_CRE_482","SRR37387888","Illumina NovaSeq X","2021-23","Respiratory","LTACH 4",5668740,103,139046,436.867,"Klebsiella pneumoniae","ST258"
"678","INT_CRE_306","SRR37385635","Illumina NovaSeq X","2021-23","Urine","LTACH 1",5524391,97,129830,423.579,"Klebsiella pneumoniae","ST258"
"679","INT_CRE_17","SRR37385816","Illumina NovaSeq X","2021-23","Urine","LTACH 7",5337142,59,225757,354.529,"Klebsiella pneumoniae","ST17"
"680","INT_CRE_295","SRR37385330","Illumina NovaSeq X","2021-23","Blood","LTACH 13",5688072,106,129409,399.412,"Klebsiella pneumoniae","ST258"
"681","INT_CRE_705","SRR37387579","Illumina NovaSeq X","2021-23","Urine","LTACH 10",5441892,60,165167,435.524,"Klebsiella pneumoniae","ST14"
"682","INT_CRE_25","SRR37385760","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5545629,86,143500,449.2,"Klebsiella pneumoniae","ST258"
"683","INT_CRE_138","SRR37385662","Illumina NovaSeq X","2021-23","Respiratory","LTACH 8",5600718,70,221683,459.258,"Klebsiella pneumoniae","ST987"
"684","INT_CRE_1416","SRR37385402","Illumina NovaSeq X","2021-23","Urine","LTACH 13",5432926,78,198148,424.008,"Klebsiella pneumoniae","ST258"
"685","INT_CRE_462","SRR37387634","Illumina NovaSeq X","2021-23","Respiratory","LTACH 12",5608296,80,223864,387.71,"Klebsiella pneumoniae","ST17"
"686","INT_CRE_340","SRR37387872","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5648726,108,129837,336.397,"Klebsiella pneumoniae","ST258"
"687","INT_CRE_1382","SRR37385660","Illumina NovaSeq X","2021-23","Blood","LTACH 6",5461862,53,201541,374.961,"Klebsiella pneumoniae","ST14"
"688","INT_CRE_1323","SRR37385857","Illumina NovaSeq X","2021-23","Wound","LTACH 7",5317602,46,279371,405.13,"Klebsiella pneumoniae","ST14"
"689","INT_CRE_264","SRR37385504","Illumina NovaSeq X","2021-23","Respiratory","LTACH 5",5653809,103,126914,511.954,"Klebsiella pneumoniae","ST258"
"690","INT_CRE_693","SRR37387253","Illumina NovaSeq X","2021-23","Respiratory","LTACH 1",5450010,56,192727,430.32,"Klebsiella pneumoniae","ST14"
"691","INT_CRE_493","SRR37387425","Illumina NovaSeq X","2021-23","Respiratory","LTACH 2",5681492,97,132764,473.261,"Klebsiella pneumoniae","ST258"
